COD_DANE,NOMBRE_MPI,mun_limpio_panel,confianza_sugerencia,candidatos_subcadena,candidatos_difflib_solamente
70204,COLOSÓ,coloso,alta (coincidencia de subcadena),coloso (ricaurte),colon; coello; caloto; yolombo; dolores
70221,COVEÑAS,covenas,"baja (solo similitud de letras, verificar con cuidado)",,ovejas; vetas
70233,EL ROBLE,el roble,"baja (solo similitud de letras, verificar con cuidado)",,el colegio; la uribe; el copey; el cairo; el bagre
70742,SAN LUIS DE SINCÉ,san luis de since,alta (coincidencia de subcadena),san luis; since,san luis de gaceno; san luis de palenque; san jose de ocune; san miguel de sema
70820,SANTIAGO DE TOLÚ,santiago de tolu,alta (coincidencia de subcadena),santiago; tolu,santa rosa de viterbo; santa rosa del sur; santa rosa de osos; santa rosa de cabal
70823,SAN JOSÉ DE TOLUVIEJO,san jose de toluviejo,alta (coincidencia de subcadena),tolu; toluviejo,san jose de ocune; san jose del guaviare; san jose de pare; santa rosa de viterbo; san jose de fragua
73055,ARMERO,armero,alta (coincidencia de subcadena),armero (guayabal),retiro; paramo; abrego; palermo; marmato
73443,SAN SEBASTIÁN DE MARIQUITA,san sebastian de mariquita,alta (coincidencia de subcadena),mariquita; san sebastian,san sebastian de buenavis; san juan de arama
73520,PALOCABILDO,palocabildo,sin sugerencia,,
73671,SALDAÑA,saldana,alta (coincidencia de subcadena),aldana,salda¥a; salamina; samana; santana
73870,VILLAHERMOSA,villahermosa,"baja (solo similitud de letras, verificar con cuidado)",,villa hermosa; vistahermosa; villa del rosario; villarrica; villanueva
76001,SANTIAGO DE CALI,santiago de cali,alta (coincidencia de subcadena),cali; santiago,santa rosa de cabal; santa catalina; santa rosalia; cartagena del chaira
76111,GUADALAJARA DE BUGA,guadalajara de buga,alta (coincidencia de subcadena),buga,
76126,CALIMA,calima,alta (coincidencia de subcadena),cali; calima  (darien),tocaima; nocaima; coyaima; calamar
86865,VALLE DEL GUAMUEZ,valle del guamuez,alta (coincidencia de subcadena),valle del guamuez (la hor,valle de san juan; valle de  san jose
91460,MIRITÍ - PARANÁ,miriti - parana,"baja (solo similitud de letras, verificar con cuidado)",,miriti parana
91530,PUERTO ALEGRÍA,puerto alegria,"baja (solo similitud de letras, verificar con cuidado)",,puerto salgar; puerto lleras; puerto leguizamo; puerto parra; puerto narino
91536,PUERTO ARICA,puerto arica,"baja (solo similitud de letras, verificar con cuidado)",,puerto rico; puerto parra; puerto narino; puerto gaitan; puerto boyaca
94343,BARRANCOMINAS,barrancominas,"baja (solo similitud de letras, verificar con cuidado)",,barranco minas; barrancas; barbacoas; baranoa; barranco de loba
94888,MORICHAL,morichal,"baja (solo similitud de letras, verificar con cuidado)",,lorica; morales; riohacha; monteria; socha
