COD_DANE,NOMBRE_MPI,year,temp_media_c,prec_anual_mm
70742,SAN LUIS DE SINCÉ,2014,27.95230222890075,960.3251724534987
70742,SAN LUIS DE SINCÉ,2015,28.467054039323898,915.963362809223
70742,SAN LUIS DE SINCÉ,2016,28.199679651394717,977.9594209465351
70742,SAN LUIS DE SINCÉ,2017,27.831582856514103,1243.3074238390743
70742,SAN LUIS DE SINCÉ,2018,27.653094353474387,1111.0501099767546
70742,SAN LUIS DE SINCÉ,2019,28.128795484086197,958.6647134941292
70742,SAN LUIS DE SINCÉ,2020,28.779395648795173,1063.3410858972725
70742,SAN LUIS DE SINCÉ,2021,26.784398408731818,1088.2868354433722
70742,SAN LUIS DE SINCÉ,2022,26.319572404452913,1497.5910825418177
70820,SANTIAGO DE TOLÚ,2001,27.069865587022548,1151.6844218690264
70820,SANTIAGO DE TOLÚ,2002,27.54094170464407,1097.7158738149044
70820,SANTIAGO DE TOLÚ,2003,27.434838867187466,1335.882048100198
70820,SANTIAGO DE TOLÚ,2004,27.395284695095484,1171.1852491144084
70820,SANTIAGO DE TOLÚ,2005,27.428976101345484,1339.0748378028995
70820,SANTIAGO DE TOLÚ,2006,27.368890380859398,1229.1666502435594
70820,SANTIAGO DE TOLÚ,2007,27.21881510416665,1413.658222412997
70820,SANTIAGO DE TOLÚ,2008,26.998210313585048,1412.5587610742857
70820,SANTIAGO DE TOLÚ,2009,27.515347629123255,1099.5916983583347
70820,SANTIAGO DE TOLÚ,2010,27.41754557291665,1841.5913190783906
70820,SANTIAGO DE TOLÚ,2011,27.114848497178798,1575.829544903248
70820,SANTIAGO DE TOLÚ,2012,27.469937472873255,1206.0811446419923
70820,SANTIAGO DE TOLÚ,2013,27.49132012261282,1323.9552585508716
70820,SANTIAGO DE TOLÚ,2014,27.674022081163173,1027.5468147525758
70820,SANTIAGO DE TOLÚ,2015,28.058136664496544,885.7910695835812
70820,SANTIAGO DE TOLÚ,2016,27.82292751736111,1130.8073607628357
70820,SANTIAGO DE TOLÚ,2017,27.793803575303798,1211.4697770522228
70820,SANTIAGO DE TOLÚ,2018,27.663574896918362,1021.6086977773358
70820,SANTIAGO DE TOLÚ,2019,27.92113647460934,939.6005381302538
70820,SANTIAGO DE TOLÚ,2020,28.021498616536462,1115.3262783901828
