Project ID,Project Name,Project Stage,Project URL,Project proponent,Project developer,Is Migrated,Protocol,Sector,Methodology,Mitigation type,Duration start,Duration end,Start date first crediting period,Crediting periord start,Crediting period end,n_filas_registro,n_matches,cod_dane,municipio
CDC-248,RUTA ANDINA,Validation,https://www.ecoregistry.io/projects/251,AGI Ambiental,AGI Ambiental,No,PROTOCOL CVCC 4.4,Land use (AFOLU),"CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Avoidance and removal, Removal",2019-12-15,2049-12-16,2020-10-19,2020-10-19,2040-10-18,1,0,,
CDC-13,Reforestación de suelos degradados por la ganadería y la agricultura en Antioquia,Finished,https://www.ecoregistry.io/projects/13,South Pole Carbon Asset Management,South Pole Carbon Asset Management,No,PROTOCOL CVCC V1.1,Land use (AFOLU),CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Removal,,,2009-01-05,2009-01-05,2024-01-30,1,0,,
CDC-63,“PLANETA AGRADECIDO CON EL RESGUARDO INDÍGENA CMARI”,Retired,https://www.ecoregistry.io/projects/63,HUMAN FOREST SAS,HUMAN FOREST SAS,No,PROTOCOL CVCC V2.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2017-01-01,2017-01-01,2036-12-01,1,0,,
CDC-98,JAJÖM CMARI REDD+ ,Retired,https://www.ecoregistry.io/projects/98,BIOFIX CONSULTORIA S.A.S BIC,BIOFIX CONSULTORIA S.A.S BIC,No,PROTOCOL CVCC 3.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2017-01-01,2017-01-01,2037-12-31,1,5,08573;94001;94343;94884;94888,BARRANCOMINAS;INIRIDA;MORICHAL;PUERTO COLOMBIA
CDC-12,Proyecto de Mitigación Forestal Bonanza Verde,Finished,https://www.ecoregistry.io/projects/12,South Pole Carbon Asset Management,South Pole Carbon Asset Management,No,PROTOCOL CVCC V1.1,Land use (AFOLU),CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Removal,,,2009-04-30,2009-04-30,2019-03-04,1,0,,
CDC-11,Proyecto Forestal de Mitigación de Cambio Climático en áreas degradadas por ganadería Fincas La Clara y Suebrá,Finished,https://www.ecoregistry.io/projects/11,South Pole Carbon Asset Management,South Pole Carbon Asset Management,No,PROTOCOL CVCC V1.1,Land use (AFOLU),CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands,Removal,,,2009-08-31,2009-08-31,2029-10-01,1,0,,
CDC-54,AZIRPA,Rejected,https://www.ecoregistry.io/projects/54,Corporación Masbosques,Corporación Masbosques,No,PROTOCOL CVCC V2.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,,,2018-01-01,2018-01-01,2047-12-31,1,0,,
CDC-87,Ciclo Combinado Termoflores IV,Certified,https://www.ecoregistry.io/projects/87,Prime Termoflores S.A.S E.S.P,MGM Innova Consulting SAS,No,PROTOCOL CVCC V2.1,Energy industries,CDM - ACM0007: Conversion from single cycle to combined cycle power generation,Avoidance,2017-01-01,2046-12-31,2017-01-01,2017-01-01,2036-12-31,2,1,08001,BARRANQUILLA
CDC-250,Generación de Energía y Reducción de GEI-IACSA,Validation,https://www.ecoregistry.io/projects/247,Industrial Aceitera de Casanare S.A. SUCURSAL COLO,MGM Innova Consulting SAS,No,PROTOCOL CVCC 4.4,Energy industries; Waste handling and disposal,"CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid, CDM - AMS-III.H.: Methane recovery in wastewater treatment",Avoidance,2025-02-06,2055-02-05,2025-02-06,2025-02-06,2035-02-05,2,0,,
CDC-68,Carvida,Certified,https://www.ecoregistry.io/projects/68,DEXCO COLOMBIA S.A.,Forestry Consulting Group S.A.S.,Yes,PROTOCOL CVCC V2.1,Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,2007-03-01,2027-02-28,2007-03-01,2007-03-01,2030-02-28,2,2,05129;15131,CALDAS
