COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,baseline_forest_tc50,baseline_forest_tc75,n_fragmentos,fuente,version_gfc,baseline_forest,area_municipio_ha,fecha_generacion
05736,SEGOVIA,ANTIOQUIA,107639.40015730308,106307.59096292316,103463.13426058373,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,107639.40015730308,,2026-09-20T17:41:03
05756,SONSÓN,ANTIOQUIA,106761.5842112958,100379.52589358528,88906.08969602533,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,106761.5842112958,134561.03411394983,2026-09-20T17:41:03
05761,SOPETRÁN,ANTIOQUIA,17954.16925280215,15758.644586547323,12270.439747397975,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,17954.16925280215,,2026-09-20T17:41:03
05789,TÁMESIS,ANTIOQUIA,16739.860223831904,14404.227187285724,11394.890829912743,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,16739.860223831904,,2026-09-20T17:41:03
05790,TARAZÁ,ANTIOQUIA,93898.50247359226,89872.9072963217,81661.69377586679,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,93898.50247359226,,2026-09-20T17:41:03
05792,TARSO,ANTIOQUIA,8945.039960484877,7487.757690706621,5899.074033209367,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,8945.039960484877,,2026-09-20T17:41:03
05809,TITIRIBÍ,ANTIOQUIA,10222.59978332684,8356.488515333338,6112.270793484988,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,10222.59978332684,14032.860970394373,2026-09-20T17:41:03
05819,TOLEDO,ANTIOQUIA,11804.252014490936,10858.754350314855,9071.15158253975,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,11804.252014490936,,2026-09-20T17:41:03
05837,TURBO,ANTIOQUIA,209933.9842066441,197685.26092555496,175033.79613945322,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,209933.9842066441,292324.2082232779,2026-09-20T17:41:03
05842,URAMITA,ANTIOQUIA,23085.14261240605,20748.78736717081,17155.0376840072,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,23085.14261240605,,2026-09-20T17:41:03
05847,URRAO,ANTIOQUIA,227300.84786273653,217430.31779587155,200104.35216733505,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,227300.84786273653,,2026-09-20T17:41:03
05854,VALDIVIA,ANTIOQUIA,50488.391077271735,48369.36060327671,43332.34935058084,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,50488.391077271735,,2026-09-20T17:41:03
05856,VALPARAÍSO,ANTIOQUIA,9062.308380031189,7054.760163347942,4587.109273268655,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,9062.308380031189,12614.562897990267,2026-09-20T17:41:03
05858,VEGACHÍ,ANTIOQUIA,48702.69177170812,46327.23139307845,41652.00792591435,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,48702.69177170812,,2026-09-20T17:41:03
05861,VENECIA,ANTIOQUIA,12191.14660753706,10417.482690840669,8052.351427283328,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,12191.14660753706,,2026-09-20T17:41:03
05873,VIGÍA DEL FUERTE,ANTIOQUIA,155754.05847172756,154702.6018058001,150898.39751448508,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,155754.05847172756,,2026-09-20T17:41:03
05885,YALÍ,ANTIOQUIA,39602.77585611651,37455.89418784736,33129.27037463376,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,39602.77585611651,,2026-09-20T17:41:03
05887,YARUMAL,ANTIOQUIA,60332.599671870754,54271.13773955251,41805.56039905455,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,60332.599671870754,,2026-09-20T17:41:03
05890,YOLOMBÓ,ANTIOQUIA,84206.46973610451,78716.08068533917,68842.82810453752,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,84206.46973610451,,2026-09-20T17:41:03
05893,YONDÓ,ANTIOQUIA,141246.12320974073,130468.61112680924,110594.37730795109,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,141246.12320974073,189271.3927935046,2026-09-20T17:41:03
05895,ZARAGOZA,ANTIOQUIA,98286.4329715481,93996.6474527418,85664.24303750708,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,98286.4329715481,,2026-09-20T17:41:03
08001,BARRANQUILLA,ATLÁNTICO,737.31288595806,377.3854803153724,92.11616516714048,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,737.31288595806,15412.75513310188,2026-09-20T17:41:03
08078,BARANOA,ATLÁNTICO,2469.655561946733,1967.986650412925,1013.7843381442638,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,2469.655561946733,,2026-09-20T17:41:03
08137,CAMPO DE LA CRUZ,ATLÁNTICO,329.0862903946703,152.1252614925611,51.15719156259572,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,329.0862903946703,,2026-09-20T17:41:03
08141,CANDELARIA,ATLÁNTICO,513.3986908874272,263.0469155169075,36.36962972330729,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,513.3986908874272,,2026-09-20T17:41:03
08296,GALAPA,ATLÁNTICO,2183.67598302775,1613.119189380381,614.2647341206856,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,2183.67598302775,,2026-09-20T17:41:03
08372,JUAN DE ACOSTA,ATLÁNTICO,5424.481426073513,4308.500076025768,2371.617934824192,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,5424.481426073513,,2026-09-20T17:41:03
08421,LURUACO,ATLÁNTICO,7817.555880691046,6764.175175542713,4580.359743836091,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,7817.555880691046,,2026-09-20T17:41:03
