COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest,pixeles_totales
13620,SAN CRISTÓBAL,BOLÍVAR,353.25,48081
13647,SAN ESTANISLAO,BOLÍVAR,5345.099999999999,240512
13650,SAN FERNANDO,BOLÍVAR,18603.09,359369
13654,SAN JACINTO,BOLÍVAR,37748.34,502445
13655,SAN JACINTO DEL CAUCA,BOLÍVAR,42772.68,643950
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,48262.68,716425
13667,SAN MARTÍN DE LOBA,BOLÍVAR,34780.68,509489
13670,SAN PABLO,BOLÍVAR,182326.32,2279285
13673,SANTA CATALINA,BOLÍVAR,7004.07,187257
13683,SANTA ROSA,BOLÍVAR,5386.7699999999995,175781
13688,SANTA ROSA DEL SUR,BOLÍVAR,217467.81,2689452
13744,SIMITÍ,BOLÍVAR,97848.81,1529258
13760,SOPLAVIENTO,BOLÍVAR,717.3,105174
13780,TALAIGUA NUEVO,BOLÍVAR,4174.11,282500
13810,TIQUISIO,BOLÍVAR,70932.15,862493
13836,TURBACO,BOLÍVAR,7261.469999999999,230165
13838,TURBANA,BOLÍVAR,4727.07,217045
13873,VILLANUEVA,BOLÍVAR,8148.15,151246
13894,ZAMBRANO,BOLÍVAR,20063.88,350723
15001,TUNJA,BOYACÁ,666.9,134460
15022,ALMEIDA,BOYACÁ,3516.2999999999997,64723
15047,AQUITANIA,BOYACÁ,47766.33,1058206
15051,ARCABUCO,BOYACÁ,7536.78,154978
15087,BELÉN,BOYACÁ,7607.25,183360
15090,BERBEO,BOYACÁ,4257.36,65146
15092,BETÉITIVA,BOYACÁ,4707.63,114498
15097,BOAVITA,BOYACÁ,7206.12,163379
15104,BOYACÁ,BOYACÁ,516.3299999999999,53949
15106,BRICEÑO,BOYACÁ,5455.08,72611
15109,BUENAVISTA,BOYACÁ,8249.31,123769
15114,BUSBANZÁ,BOYACÁ,967.5,28488
15131,CALDAS,BOYACÁ,2984.58,88747
15135,CAMPOHERMOSO,BOYACÁ,22261.95,335317
