category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_type,project_type_source,project_url,proponent,protocol,protocol_unassigned,registry,retired,status,vintage_start,vintage_end,credit_rows,startDate,endDate,fuente
forest,Colombia,,,False,0.0,,"CONSEJOS COMUNITARIOS DEL PACIFICO VALLE DEL CAUCA (CCPVC) PROGRAMA REDD+ VALLE DEL CAUCA, COLOMBIA",VCS2298,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2298,Multiple Proponents,['vm0006'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,2025-01-20 00:00:00+00:00,2025-01-20 00:00:00+00:00,False,3929705.0,,REDD+ Project Pueblos indígenas resguardando la selva,VCS2297,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2297,Multiple Proponents,['vm0015'],,verra,464381.0,registered,2017.0,2020.0,12.0,2017.0,2020.0,carbonplan_offsetsdb
forest,Colombia,2021-05-20 00:00:00+00:00,2021-05-25 00:00:00+00:00,False,59363.0,,BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”,VCS2290,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2290,Conservation International Foundation,['vm0007'],,verra,57369.0,unknown,2015.0,2018.0,34.0,2015.0,2018.0,carbonplan_offsetsdb
renewable-energy,Colombia,,,False,0.0,,Hydroelectric Project Cantayus,VCS1235,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/1235,Generadora Cantayus S.A.S. E.S.P.,['acm0002'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
ghg-management,Colombia,2010-10-05 00:00:00+00:00,2010-10-05 00:00:00+00:00,False,19722.0,,Curva de Rodas and La Pradera landfill gas management project,VCS479,Landfill,berkeley,https://registry.verra.org/app/projectDetail/VCS/479,Green Gas Colombia,['acm0001'],,verra,19722.0,unknown,2009.0,2009.0,11.0,2009.0,2009.0,carbonplan_offsetsdb
ghg-management,Colombia,,,False,0.0,,"Bionersis landfill  project in Pasto, Colombia",VCS491,Landfill,berkeley,https://registry.verra.org/app/projectDetail/VCS/491,Bionersis S.A.,['ams-iii-g'],,verra,0.0,unknown,,,,,,carbonplan_offsetsdb
energy-efficiency,Colombia,,,False,0.0,,AXIA Energia Cogeneration Project in Unibol,VCS1405,Natural Gas,berkeley,https://registry.verra.org/app/projectDetail/VCS/1405,AXIA Energia,['ams-ii-d'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
fuel-switching,Colombia,,,False,0.0,,EPM Grouped Natural Gas Project,VCS1169,Fuel Switching,berkeley,https://registry.verra.org/app/projectDetail/VCS/1169,Empresas Publicas de Medellin S.A,['acm0009'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
renewable-energy,Colombia,2021-12-23 00:00:00+00:00,2021-12-23 00:00:00+00:00,False,73110.0,,Hydroelectric Project El Edén,VCS1068,Hydropower,berkeley,https://registry.verra.org/app/projectDetail/VCS/1068,PROELECTRICA S.A.S E.S.P,['acm0002'],,verra,64951.0,registered,2017.0,2020.0,51.0,2017.0,2020.0,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,REDD+ Yaguara Llanos del Yari,VCS2262,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2262,CUESTA Y ASOCIADOS SAS,['vm0015'],,verra,0.0,completed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,REDD PROJECT OF THE INDIGENOUS PEOPLES OF VAUPÉS YUTUCU AND  OTHERS,VCS2251,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2251,Multiple Proponents,['vm0015'],,verra,0.0,completed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,"CONSERVATION PROJECT REDD+ SUR DEL META BOSQUES DE PAZ, SUSTENTO DE VIDA",VCS2084,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2084,Karbon-X,['vm0015'],,verra,0.0,registered,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,"COCOMACIA COMMUNITY REDD+ PROGRAM, CHOCO/ANTIOQUIA COLOMBIA",VCS2071,REDD+,berkeley,https://registry.verra.org/app/projectDetail/VCS/2071,Multiple Proponents,"['vm0006', 'vm0048']",,verra,0.0,listed,,,,,,carbonplan_offsetsdb
