COD_DANE,NOMBRE_MPI,DPTO_CNMBR,area_municipio_ha,bosque_base_ha,area_redd_ha,n_proyectos,anio_primer_proyecto,area_proyecto_max_ha,tratado,dosis_area_cruda,dosis_bosque_cruda,desborda_area,desborda_bosque,dosis_area,dosis_bosque,umbral_dosel,truncada,fecha_generacion
05842,URAMITA,ANTIOQUIA,26595.321638295583,23236.8673328408,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05847,URRAO,ANTIOQUIA,256384.96679177057,228797.1907492763,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05854,VALDIVIA,ANTIOQUIA,56748.166641290845,50814.41752807133,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05856,VALPARAÍSO,ANTIOQUIA,12614.562897990269,9123.176789715491,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05858,VEGACHÍ,ANTIOQUIA,54030.19642361468,49020.68017564628,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05861,VENECIA,ANTIOQUIA,14362.631416642733,12270.965421053554,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05873,VIGÍA DEL FUERTE,ANTIOQUIA,166270.19222271247,156780.61102963195,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05885,YALÍ,ANTIOQUIA,44055.20850290544,39861.04923457229,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05887,YARUMAL,ANTIOQUIA,71232.26569289429,60726.341744838006,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05890,YOLOMBÓ,ANTIOQUIA,94334.43222420904,84763.97210566227,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05893,YONDÓ,ANTIOQUIA,189271.3927935046,142172.8104411139,8244.0,1,2018.0,8244.0,1,0.04355650306327178,0.057985770798380305,0,0,0.04355650306327178,0.057985770798380305,30,1,2026-09-20T18:06:24
05895,ZARAGOZA,ANTIOQUIA,116653.144419883,98927.96275189248,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
08001,BARRANQUILLA,ATLÁNTICO,15412.75513310188,741.6293927529547,400000.0,1,2024.0,400000.0,1,25.952530650469,539.3529489374548,1,1,1.0,1.0,30,1,2026-09-20T18:06:24
08078,BARANOA,ATLÁNTICO,12126.327266801867,2485.6929389475595,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
08137,CAMPO DE LA CRUZ,ATLÁNTICO,9992.062157087676,331.07895121848446,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
08141,CANDELARIA,ATLÁNTICO,13566.52989327526,516.4393549310113,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
08296,GALAPA,ATLÁNTICO,9748.123372942156,2196.2007723408806,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
08372,JUAN DE ACOSTA,ATLÁNTICO,16790.924121179236,5458.431783873709,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
08421,LURUACO,ATLÁNTICO,22359.54863844146,7865.150210275595,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
08433,MALAMBO,ATLÁNTICO,9786.520455782906,1083.431694748333,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
08436,MANATÍ,ATLÁNTICO,21411.26397413924,2151.493143103952,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
08520,PALMAR DE VARELA,ATLÁNTICO,9226.015192476358,634.2890481453701,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
08549,PIOJÓ,ATLÁNTICO,26267.861837696288,9306.779586251318,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
08558,POLONUEVO,ATLÁNTICO,7380.851389622542,338.4741943423413,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
08560,PONEDERA,ATLÁNTICO,20636.98224034586,900.1975596230003,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
