clave,fuente,nombre_proyecto,COD_DANE,NOMBRE_MPI,clasificacion_sugerida,motivo_sugerencia,clasificacion_final,justificacion,clase_redd_sugerida,motivo_redd,clase_redd_final,justificacion_redd,sector__actividades,sector__afolu_activities,sector__clase_metodologia,sector__es_wrc,sector__estado_registro,sector__methodology,sector__programme_of_activities,sector__projectType,sector__sectoralScope,sector__status_registro,sector__tipo
renare|mdl poa mundo verde,renare,MDL PoA Mundo verde,,,REVISAR,tipo=MDL PoA - Programas de Activid pero actividades sugiere AFOLU,,,NO_REDD,tipo: MDL PoA - Programas de Actividades del M (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'fuente_relacionada_1': '{""value"":""Fuente 1""}', 'tipo_actividad_1': 859, 'descripcion_actividad_1': 'Prueba', 'fecha_inicial_1': '05/11/2025', 'fecha_final_1': '16/01/2026', 'acciones_redd_mas_1': '', 'depositos_carbono_1': '', 'check_co_beneficios_economicos_1': True, 'descripcion_co_beneficios_economicos_1': 'Prueba', 'check_co_beneficios_sociales_1': '', 'descripcion_co_beneficios_sociales_1': '', 'check_co_beneficios_ambientales_1': '', 'descripcion_co_beneficios_ambientales_1': '', 'check_otros_co_beneficios_1': '', 'descripcion_otros_co_beneficios_1': '', 'archivo_soporte_2_2': 'files-renare/cc,47440081/691726b38903bc9c31018518/documentossolicitud/05documentodescripcionactividadmitigacion14-11-2025-08-39-35.pdf', 'archivo_soporte_2_3': '', 'geovisor_calculo_traslape_1': '[]', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '14/11/2025 08:40:01', 'sector_cartera': '', 'tipo_moneda_1': 171, 'tasa_cambio_1': '$ 3.400', 'fecha_tasa_cambio_1': '08/11/2025', 'contribucion_propia_1': '$ 340.000.000', 'contribucion_propia_tasa_cambio_1': 'COP $ 1.156.000.000.000', 'contribucion_externa_1': '$ 450.000.000', 'contribucion_externa_tasa_cambio_1': 'COP $ 1.530.000.000.000', 'costo_total_1': 'COP $ 790.000.000', 'costo_total_tasa_cambio_1': 'COP $ 2.686.000.000.000', 't_sector_cartera_asociado_2': '', 'tipo_actividad': 859, 'nombre_tipo_actividad': 'Nuevas tecnologías en industria de los minerales - Producción de cemento'}]",,,,,,,,,,MDL PoA - Programas de Actividades del Mecanismo de Desarrollo Limpio
renare|hkjhkh,renare,hkjhkh,,,REVISAR,tipo=MDL - Proyectos del Mecanismo  pero actividades sugiere AFOLU,,,NO_REDD,tipo: MDL - Proyectos del Mecanismo de Desarro (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'fuente_relacionada_1': '{""value"":""Fuente 1""}', 'tipo_actividad_1': 558, 'descripcion_actividad_1': 'dfsfs', 'fecha_inicial_1': '01/01/2025', 'fecha_final_1': '06/11/2025', 'acciones_redd_mas_1': '', 'depositos_carbono_1': '', 'check_co_beneficios_economicos_1': True, 'descripcion_co_beneficios_economicos_1': 'fgfgfg', 'check_co_beneficios_sociales_1': True, 'descripcion_co_beneficios_sociales_1': 'gfgfgf', 'check_co_beneficios_ambientales_1': True, 'descripcion_co_beneficios_ambientales_1': 'gfdgfdfgd', 'check_otros_co_beneficios_1': True, 'descripcion_otros_co_beneficios_1': 'gfdgfdfgd', 'archivo_soporte_2_2': 'files-renare/cc,1143335908/69133b64471be180c8ed9831/documentossolicitud/05documentodescripcionactividadmitigacion14-11-2025-10-01-28.pdf', 'archivo_soporte_2_3': '', 'geovisor_calculo_traslape_1': '[]', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '14/11/2025 10:02:05', 'sector_cartera': '', 'tipo_moneda_1': 297, 'tasa_cambio_1': '$ 5', 'fecha_tasa_cambio_1': '01/11/2025', 'contribucion_propia_1': '$ 1.000.000', 'contribucion_propia_tasa_cambio_1': 'COP $ 5.000.000', 'contribucion_externa_1': '$ 5.000.000', 'contribucion_externa_tasa_cambio_1': 'COP $ 25.000.000', 'costo_total_1': 'COP $ 6.000.000', 'costo_total_tasa_cambio_1': 'COP $ 30.000.000', 't_sector_cartera_asociado_2': '', 'tipo_actividad': 558, 'nombre_tipo_actividad': 'Generación renovable / No convencional'}]",,,,,,,,,,MDL - Proyectos del Mecanismo de Desarrollo Limpio
"renare|proyecto de captura de carbono, y conservacion hidrica del bosque altoandino-humedo en la finca la giovanna, pamplona (norte de santander).",renare,"Proyecto de Captura de Carbono, y Conservación Hídrica del Bosque Altoandino-Húmedo en la Finca La Giovanna, Pamplona (Norte de Santander). 
",,,REVISAR,tipo=PDBC - Proyectos de Desarrollo pero actividades sugiere AFOLU,AFOLU,Conservacion de bosque altoandino,NO_REDD,tipo: PDBC - Proyectos de Desarrollo Bajo en C (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'fuente_relacionada_1': '{""value"":""Remoción de CO₂ por biomasa aérea y subterránea en bosque natural altoandino""}', 'tipo_actividad_1': 246, 'descripcion_actividad_1': 'Protección, conservación y restauración de 32 ha de bosque altoandino-húmedo en Finca La Giovanna, Pamplona (N. de Santander), mediante aislamiento, restauración ecológica y conservación de cobertura vegetal para la remoción natural de CO₂, sin uso energético (IPCC–AFOLU) y conservación hídrica. \n', 'fecha_inicial_1': '30/12/2025', 'fecha_final_1': '30/12/2040', 'acciones_redd_mas_1': '', 'depositos_carbono_1': '', 'check_co_beneficios_economicos_1': True, 'descripcion_co_beneficios_economicos_1': 'Generación de empleo local en labores de restauración, monitoreo y control de erosión.', 'check_co_beneficios_sociales_1': True, 'descripcion_co_beneficios_sociales_1': 'Fortalecimiento de capacidades locales en conservación ambiental y participación comunitaria. Mejora del bienestar social al proteger fuentes de agua y suelos.', 'check_co_beneficios_ambientales_1': True, 'descripcion_co_beneficios_ambientales_1': 'Mejora la regulación hídrica, conservación de la biodiversidad, protección del suelo, conectividad ecológica y resiliencia del ecosistema altoandino frente al cambio climático.', 'check_otros_co_beneficios_1': True, 'descripcion_otros_co_beneficios_1': 'La iniciativa contribuye a la conservación de servicios ecosistémicos, regulación hídrica, protección del suelo y biodiversidad del bosque altoandino, fortaleciendo la gestión ambiental del territorio', 'archivo_soporte_2_2': 'files-renare/cc,80098491/690caa31471be180c8ed9765/documentossolicitud/05documentodescripcionactividadmitigacion13-12-2025-18-35-39.pdf', 'archivo_soporte_2_3': '', 'geovisor_calculo_traslape_1': '[]', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '13/12/2025 19:52:19', 'sector_cartera': '', 'tipo_moneda_1': 173, 'tasa_cambio_1': '', 'fecha_tasa_cambio_1': '', 'contribucion_propia_1': '$ 150.000.000', 'contribucion_propia_tasa_cambio_1': '', 'contribucion_externa_1': '$ 0', 'contribucion_externa_tasa_cambio_1': '', 'costo_total_1': 'COP $ 150.000.000', 'costo_total_tasa_cambio_1': '', 't_sector_cartera_asociado_2': '', 'tipo_actividad': 246, 'nombre_tipo_actividad': 'Uso energético de la biomasa forestal (uso asociado a degradación forestal)'}]",,,,,,,,,,PDBC - Proyectos de Desarrollo Bajo en Carbono
renare|proyecto hidroelectrico el eden,renare,Proyecto Hidroeléctrico El Edén,,,REVISAR,tipo=PDBC - Proyectos de Desarrollo pero actividades sugiere AFOLU,,,NO_REDD,tipo: PDBC - Proyectos de Desarrollo Bajo en C (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'fuente_relacionada_1': '{""value"":""Generacion de energia renovable""}', 'tipo_actividad_1': 558, 'descripcion_actividad_1': 'Proyecto hidroeléctrico en el río La Miel, Caldas (Colombia), cerca de Pensilvania, Marquetalia y Manzanares. Genera 111 GWh/año para el SIN, reduce la generación termoeléctrica y las emisiones de GEI al aumentar la energía renovable.', 'fecha_inicial_1': '16/02/2017', 'fecha_final_1': '15/02/2027', 'acciones_redd_mas_1': '', 'depositos_carbono_1': '', 'check_co_beneficios_economicos_1': True, 'descripcion_co_beneficios_economicos_1': 'Creación de fuentes de empleo', 'check_co_beneficios_sociales_1': '', 'descripcion_co_beneficios_sociales_1': '', 'check_co_beneficios_ambientales_1': True, 'descripcion_co_beneficios_ambientales_1': 'Reducción de CO2', 'check_otros_co_beneficios_1': True, 'descripcion_otros_co_beneficios_1': 'Creación de fuentes de energía renovable', 'archivo_soporte_2_2': 'files-renare/cc,1075256467/690c8ec7471be180c8ed973d/documentossolicitud/05documentodescripcionactividadmitigacion28-01-2026-09-30-37.pdf', 'archivo_soporte_2_3': '', 'geovisor_calculo_traslape_1': '[]', 'resultado_traslape': 'No se presenta traslape.', 'fecha_resultado_traslape': '28/01/2026 13:38:52', 'sector_cartera': '', 'tipo_moneda_1': 171, 'tasa_cambio_1': '$ 1.807', 'fecha_tasa_cambio_1': '16/05/2012', 'contribucion_propia_1': '$ 48.284.307', 'contribucion_propia_tasa_cambio_1': 'COP $ 87.249.742.749', 'contribucion_externa_1': '$ 0', 'contribucion_externa_tasa_cambio_1': 'COP $ 0', 'costo_total_1': 'COP $ 48.284.307', 'costo_total_tasa_cambio_1': 'COP $ 87.249.742.749', 't_sector_cartera_asociado_2': '', 'tipo_actividad': 558, 'nombre_tipo_actividad': 'Generación renovable / No convencional'}]",,,,,,,,,,PDBC - Proyectos de Desarrollo Bajo en Carbono
renare|prueba,renare,Prueba,,,REVISAR,tipo=PDBC - Proyectos de Desarrollo pero actividades sugiere AFOLU,,,NO_REDD,tipo: PDBC - Proyectos de Desarrollo Bajo en C (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'fuente_relacionada_1': '{""value"":""Prueba Fuente 1""}', 'tipo_actividad_1': 400, 'descripcion_actividad_1': 'Prueba', 'fecha_inicial_1': '01/01/2025', 'fecha_final_1': '31/10/2025', 'acciones_redd_mas_1': '', 'depositos_carbono_1': '', 'check_co_beneficios_economicos_1': True, 'descripcion_co_beneficios_economicos_1': 'Prueba', 'check_co_beneficios_sociales_1': '', 'descripcion_co_beneficios_sociales_1': '', 'check_co_beneficios_ambientales_1': '', 'descripcion_co_beneficios_ambientales_1': '', 'check_otros_co_beneficios_1': '', 'descripcion_otros_co_beneficios_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1121860663/68ddf2adf7447e0f93dcb125/documentossolicitud/05documentodescripcionactividadmitigacion01-10-2025-22-39-56.pdf', 'archivo_soporte_2_3': '', 'geovisor_calculo_traslape_1': '[{""..."":""<div title=\\""La iniciativa de mitigación de GEI que pretende inscribir en la fase de Factibilidad presenta un Traslape Informativo. \\"" style=\\""display: flex; justify-content: center; align-items: center; height: 100%;\\""> \\n              <span class=\\""esri-icon-notice-triangle\\"" \\n                    style=\\""font-size: 24px; color: orange;\\"" \\n                    title=\\""La iniciativa de mitigación de GEI que pretende inscribir en la fase de Factibilidad presenta un Traslape Informativo. \\"">\\n              </span>\\n            </div>"",""Tipo"":""Traslape Informativo"",""Nombre"":""Complejo Cenagoso de Zapatosa"",""Capa"":""RUNAP"",""Área (M2)"":""1397269203.367 m2"",""Área traslapada (%)"":""4.68%""}]', 'resultado_traslape': 'Se presenta un traslape informativo con Registro Único de Áreas protegidas - RUNAP.', 'fecha_resultado_traslape': '01/10/2025 22:40:48', 'sector_cartera': '', 'tipo_moneda_1': 171, 'tasa_cambio_1': '$ 3.800', 'fecha_tasa_cambio_1': '01/10/2025', 'contribucion_propia_1': '$ 100.000.000', 'contribucion_propia_tasa_cambio_1': 'COP $ 380.000.000.000', 'contribucion_externa_1': '$ 10.000.000', 'contribucion_externa_tasa_cambio_1': 'COP $ 38.000.000.000', 'costo_total_1': 'COP $ 110.000.000', 'costo_total_tasa_cambio_1': 'COP $ 418.000.000.000', 't_sector_cartera_asociado_2': '', 'tipo_actividad': 400, 'nombre_tipo_actividad': 'Nuevas tecnologías en industria de los minerales - Producción de cemento'}]",,,,,,,,,,PDBC - Proyectos de Desarrollo Bajo en Carbono
renare|afsdfsa,renare,afsdfsa,,,AFOLU,tipo: Proyecto REDD+,AFOLU,,REDD,tipo: Proyecto REDD+,REDD,,"[{'fuente_relacionada_1': '{""value"":""Fuente1""}', 'tipo_actividad_1': 50, 'descripcion_actividad_1': 'nsljdvnds', 'fecha_inicial_1': '01/01/2025', 'fecha_final_1': '01/12/2028', 'acciones_redd_mas_1': 'fsdfhfds', 'depositos_carbono_1': '', 'check_co_beneficios_economicos_1': True, 'descripcion_co_beneficios_economicos_1': 'ghjk.', 'check_co_beneficios_sociales_1': '', 'descripcion_co_beneficios_sociales_1': '', 'check_co_beneficios_ambientales_1': '', 'descripcion_co_beneficios_ambientales_1': '', 'check_otros_co_beneficios_1': '', 'descripcion_otros_co_beneficios_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1121860663/68d9689ff7447e0f93dcb039/documentossolicitud/05documentodescripcionactividadmitigacion28-09-2025-12-00-37.pdf', 'archivo_soporte_2_3': '', 'geovisor_calculo_traslape_1': '[{""..."":""<div title=\\""La iniciativa de mitigación de GEI que pretende inscribir en la fase de Factibilidad presenta un Traslape Informativo. \\"" style=\\""display: flex; justify-content: center; align-items: center; height: 100%;\\""> \\n              <span class=\\""esri-icon-notice-triangle\\"" \\n                    style=\\""font-size: 24px; color: orange;\\"" \\n                    title=\\""La iniciativa de mitigación de GEI que pretende inscribir en la fase de Factibilidad presenta un Traslape Informativo. \\"">\\n              </span>\\n            </div>"",""Tipo"":""Traslape Informativo"",""Nombre"":""Complejo Cenagoso de Zapatosa"",""Capa"":""RUNAP"",""Área (M2)"":""1397269203.367 m2"",""Área traslapada (%)"":""4.68%""}]', 'resultado_traslape': 'Se presenta un traslape informativo con Registro Único de Áreas protegidas - RUNAP.', 'fecha_resultado_traslape': '28/09/2025 12:01:23', 'sector_cartera': '', 'tipo_moneda_1': '', 'tasa_cambio_1': '', 'fecha_tasa_cambio_1': '', 'contribucion_propia_1': '', 'contribucion_propia_tasa_cambio_1': '', 'contribucion_externa_1': '', 'contribucion_externa_tasa_cambio_1': '', 'costo_total_1': '', 'costo_total_tasa_cambio_1': '', 't_sector_cartera_asociado_2': '', 't_costos_asociados': '', 'tipo_actividad': 50, 'nombre_tipo_actividad': 'Incremento de las reservas forestales de carbono'}]",,,,,,,,,,Proyecto REDD+
renare|abclnlkvn,renare,abclnlkvn,,,REVISAR,tipo=PDBC - Programas de Desarrollo pero actividades sugiere AFOLU,,,NO_REDD,tipo: PDBC - Programas de Desarrollo Bajo en C (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'fuente_relacionada_1': '{""value"":""jdvbjsdkvbsd""}', 'tipo_actividad_1': 503, 'descripcion_actividad_1': 'dfafadfa', 'fecha_inicial_1': '01/01/2025', 'fecha_final_1': '31/01/2026', 'acciones_redd_mas_1': '', 'depositos_carbono_1': '', 'check_co_beneficios_economicos_1': True, 'descripcion_co_beneficios_economicos_1': 'vxcbf', 'check_co_beneficios_sociales_1': '', 'descripcion_co_beneficios_sociales_1': '', 'check_co_beneficios_ambientales_1': '', 'descripcion_co_beneficios_ambientales_1': '', 'check_otros_co_beneficios_1': '', 'descripcion_otros_co_beneficios_1': '', 'archivo_soporte_2_2': 'files-renare/cc,1121860663/68d9647bf7447e0f93dcb01e/documentossolicitud/05documentodescripcionactividadmitigacion28-09-2025-11-49-41.pdf', 'archivo_soporte_2_3': 'files-renare/cc,1121860663/68d9647bf7447e0f93dcb01e/documentossolicitud/06soportenegociaciondistribucionescarteras28-09-2025-11-49-46.pdf', 'geovisor_calculo_traslape_1': '[{""..."":""<div title=\\""La iniciativa de mitigación de GEI que pretende inscribir en la fase de Factibilidad presenta un Traslape Informativo. \\"" style=\\""display: flex; justify-content: center; align-items: center; height: 100%;\\""> \\n              <span class=\\""esri-icon-notice-triangle\\"" \\n                    style=\\""font-size: 24px; color: orange;\\"" \\n                    title=\\""La iniciativa de mitigación de GEI que pretende inscribir en la fase de Factibilidad presenta un Traslape Informativo. \\"">\\n              </span>\\n            </div>"",""Tipo"":""Traslape Informativo"",""Nombre"":""Complejo Cenagoso de Zapatosa"",""Capa"":""RUNAP"",""Área (M2)"":""1397269203.367 m2"",""Área traslapada (%)"":""4.68%""}]', 'resultado_traslape': 'Se presenta un traslape informativo con Registro Único de Áreas protegidas - RUNAP.', 'fecha_resultado_traslape': '28/09/2025 11:50:20', 'sector_cartera': '[{""sector_cartera_2"":{""label"":""Ministerio del Interior"",""value"":411,""repeat"":false}}]', 'tipo_moneda_1': 171, 'tasa_cambio_1': '$ 4.200', 'fecha_tasa_cambio_1': '28/09/2025', 'contribucion_propia_1': '$ 100.000.000', 'contribucion_propia_tasa_cambio_1': 'COP $ 420.000.000.000', 'contribucion_externa_1': '$ 10.000.000', 'contribucion_externa_tasa_cambio_1': 'COP $ 42.000.000.000', 'costo_total_1': 'COP $ 110.000.000', 'costo_total_tasa_cambio_1': 'COP $ 462.000.000.000', 'tipo_actividad': 503, 'nombre_tipo_actividad': 'AMTEC'}]",,,,,,,,,,PDBC - Programas de Desarrollo Bajo en Carbono
renare|knfknl,renare,knfknl,,,REVISAR,tipo=MDL PoA - Programas de Activid pero actividades sugiere AFOLU,,,NO_REDD,tipo: MDL PoA - Programas de Actividades del M (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'fuente_relacionada_1': '{""value"":""Fuente1""}', 'tipo_actividad_1': 859, 'descripcion_actividad_1': 'Descripción de la actividad del proyecto', 'fecha_inicial_1': '01/01/2025', 'fecha_final_1': '31/01/2026', 'acciones_redd_mas_1': '', 'depositos_carbono_1': '', 'check_co_beneficios_economicos_1': '', 'descripcion_co_beneficios_economicos_1': '', 'check_co_beneficios_sociales_1': '', 'descripcion_co_beneficios_sociales_1': '', 'check_co_beneficios_ambientales_1': '', 'descripcion_co_beneficios_ambientales_1': '', 'check_otros_co_beneficios_1': True, 'descripcion_otros_co_beneficios_1': 'dfasdg', 'archivo_soporte_2_2': 'files-renare/cc,1121860663/68d952ddf7447e0f93dcafe2/documentossolicitud/05documentodescripcionactividadmitigacion28-09-2025-11-25-39.pdf', 'archivo_soporte_2_3': '', 'geovisor_calculo_traslape_1': '[{""..."":""<div title=\\""La iniciativa de mitigación de GEI que pretende inscribir en la fase de Factibilidad presenta un Traslape Informativo. \\"" style=\\""display: flex; justify-content: center; align-items: center; height: 100%;\\""> \\n              <span class=\\""esri-icon-notice-triangle\\"" \\n                    style=\\""font-size: 24px; color: orange;\\"" \\n                    title=\\""La iniciativa de mitigación de GEI que pretende inscribir en la fase de Factibilidad presenta un Traslape Informativo. \\"">\\n              </span>\\n            </div>"",""Tipo"":""Traslape Informativo"",""Nombre"":""Complejo Cenagoso de Zapatosa"",""Capa"":""RUNAP"",""Área (M2)"":""1397269203.367 m2"",""Área traslapada (%)"":""4.68%""}]', 'resultado_traslape': 'Se presenta un traslape informativo con Registro Único de Áreas protegidas - RUNAP.', 'fecha_resultado_traslape': '28/09/2025 11:26:14', 'sector_cartera': '', 'tipo_moneda_1': 171, 'tasa_cambio_1': '$ 4.200', 'fecha_tasa_cambio_1': '28/09/2025', 'contribucion_propia_1': '$ 100.000.000', 'contribucion_propia_tasa_cambio_1': 'COP $ 420.000.000.000', 'contribucion_externa_1': '$ 10.000.000', 'contribucion_externa_tasa_cambio_1': 'COP $ 42.000.000.000', 'costo_total_1': 'COP $ 110.000.000', 'costo_total_tasa_cambio_1': 'COP $ 462.000.000.000', 't_sector_cartera_asociado_2': '', 'tipo_actividad': 859, 'nombre_tipo_actividad': 'Nuevas tecnologías en industria de los minerales - Producción de cemento'}]",,,,,,,,,,MDL PoA - Programas de Actividades del Mecanismo de Desarrollo Limpio
renare|nombre iniciativa prueba,renare,Nombre Iniciativa prueba,,,REVISAR,tipo=MDL - Proyectos del Mecanismo  pero actividades sugiere AFOLU,,,NO_REDD,tipo: MDL - Proyectos del Mecanismo de Desarro (categoria distinta de REDD+ en RENARE),NO_REDD,,"[{'fuente_relacionada_1': '{""value"":""Nombre fuente1""}', 'tipo_actividad_1': 710, 'descripcion_actividad_1': 'Descripción de la actividad del proyecto', 'fecha_inicial_1': '28/01/2023', 'fecha_final_1': '24/12/2025', 'acciones_redd_mas_1': '', 'depositos_carbono_1': '', 'check_co_beneficios_economicos_1': '', 'descripcion_co_beneficios_economicos_1': '', 'check_co_beneficios_sociales_1': '', 'descripcion_co_beneficios_sociales_1': '', 'check_co_beneficios_ambientales_1': '', 'descripcion_co_beneficios_ambientales_1': '', 'check_otros_co_beneficios_1': True, 'descripcion_otros_co_beneficios_1': 'Otros ', 'archivo_soporte_2_2': 'files-renare/cc,1121860663/68d94d2bf7447e0f93dcafb8/documentossolicitud/05documentodescripcionactividadmitigacion28-09-2025-10-15-37.pdf', 'archivo_soporte_2_3': '', 'geovisor_calculo_traslape_1': '[{""..."":""<div title=\\""La iniciativa de mitigación de GEI que pretende inscribir en la fase de Factibilidad presenta un Traslape Informativo. \\"" style=\\""display: flex; justify-content: center; align-items: center; height: 100%;\\""> \\n              <span class=\\""esri-icon-notice-triangle\\"" \\n                    style=\\""font-size: 24px; color: orange;\\"" \\n                    title=\\""La iniciativa de mitigación de GEI que pretende inscribir en la fase de Factibilidad presenta un Traslape Informativo. \\"">\\n              </span>\\n            </div>"",""Tipo"":""Traslape Informativo"",""Nombre"":""Complejo Cenagoso de Zapatosa"",""Capa"":""RUNAP"",""Área (M2)"":""1397269203.367 m2"",""Área traslapada (%)"":""4.68%""}]', 'resultado_traslape': 'Se presenta un traslape informativo con Registro Único de Áreas protegidas - RUNAP.', 'fecha_resultado_traslape': '28/09/2025 10:16:10', 'sector_cartera': '', 'tipo_moneda_1': 171, 'tasa_cambio_1': '$ 4.200', 'fecha_tasa_cambio_1': '26/09/2025', 'contribucion_propia_1': '$ 100.000.000', 'contribucion_propia_tasa_cambio_1': 'COP $ 420.000.000.000', 'contribucion_externa_1': '$ 10.000.000', 'contribucion_externa_tasa_cambio_1': 'COP $ 42.000.000.000', 'costo_total_1': 'COP $ 110.000.000', 'costo_total_tasa_cambio_1': 'COP $ 462.000.000.000', 't_sector_cartera_asociado_2': '', 'tipo_actividad': 710, 'nombre_tipo_actividad': 'Implementación o mejoramiento de sistemas con árboles para producción agropecuaria'}]",,,,,,,,,,MDL - Proyectos del Mecanismo de Desarrollo Limpio
