COD_DANE,NOMBRE_MPI,DPTO_CNMBR,loss_pixels,loss_area_ha
27372,JURADÓ,CHOCÓ,52,4.68
27413,LLORÓ,CHOCÓ,3078,277.02
27425,MEDIO ATRATO,CHOCÓ,7623,686.0699999999999
27430,MEDIO BAUDÓ,CHOCÓ,143,12.87
27450,MEDIO SAN JUAN,CHOCÓ,316,28.439999999999998
27491,NÓVITA,CHOCÓ,549,49.41
27493,NUEVO BELÉN DE BAJIRÁ,CHOCÓ,35,3.15
27495,NUQUÍ,CHOCÓ,88,7.92
27580,RÍO IRÓ,CHOCÓ,94,8.459999999999999
27600,RÍO QUITO,CHOCÓ,38,3.42
27615,RIOSUCIO,CHOCÓ,31,2.79
27660,SAN JOSÉ DEL PALMAR,CHOCÓ,325,29.249999999999996
27745,SIPÍ,CHOCÓ,221,19.89
27787,TADÓ,CHOCÓ,110,9.9
27800,UNGUÍA,CHOCÓ,377,33.93
27810,UNIÓN PANAMERICANA,CHOCÓ,69,6.21
41001,NEIVA,HUILA,6,0.54
41006,ACEVEDO,HUILA,1599,143.91
41013,AGRADO,HUILA,215,19.35
41016,AIPE,HUILA,239,21.509999999999998
41020,ALGECIRAS,HUILA,1583,142.47
41026,ALTAMIRA,HUILA,794,71.46
41078,BARAYA,HUILA,969,87.21
41132,CAMPOALEGRE,HUILA,668,60.12
41206,COLOMBIA,HUILA,371,33.39
41244,ELÍAS,HUILA,101,9.09
41298,GARZÓN,HUILA,306,27.54
41306,GIGANTE,HUILA,963,86.66999999999999
41319,GUADALUPE,HUILA,510,45.9
44279,FONSECA,LA GUAJIRA,4031,362.78999999999996
44378,HATONUEVO,LA GUAJIRA,3458,311.21999999999997
44420,LA JAGUA DEL PILAR,LA GUAJIRA,374,33.66
44430,MAICAO,LA GUAJIRA,685,61.65
44560,MANAURE,LA GUAJIRA,431,38.79
44650,SAN JUAN DEL CESAR,LA GUAJIRA,2111,189.98999999999998
44847,URIBIA,LA GUAJIRA,2995,269.55
44855,URUMITA,LA GUAJIRA,3796,341.64
44874,VILLANUEVA,LA GUAJIRA,1411,126.99
47001,SANTA MARTA,MAGDALENA,12605,1134.45
47030,ALGARROBO,MAGDALENA,6023,542.0699999999999
47053,ARACATACA,MAGDALENA,73,6.57
47058,ARIGUANÍ,MAGDALENA,161,14.49
47161,CERRO DE SAN ANTONIO,MAGDALENA,192,17.279999999999998
47170,CHIVOLO,MAGDALENA,932,83.88
47189,CIÉNAGA,MAGDALENA,957,86.13
47205,CONCORDIA,MAGDALENA,131,11.79
47245,EL BANCO,MAGDALENA,198,17.82
47258,EL PIÑÓN,MAGDALENA,417,37.53
47268,EL RETÉN,MAGDALENA,758,68.22
47288,FUNDACIÓN,MAGDALENA,695,62.55
47318,GUAMAL,MAGDALENA,1357,122.13
47460,NUEVA GRANADA,MAGDALENA,589,53.01
47541,PEDRAZA,MAGDALENA,259,23.31
47545,PIJIÑO DEL CARMEN,MAGDALENA,355,31.95
47551,PIVIJAY,MAGDALENA,597,53.73
47555,PLATO,MAGDALENA,2310,207.9
47570,PUEBLOVIEJO,MAGDALENA,356,32.04
47605,REMOLINO,MAGDALENA,905,81.45
47660,SABANAS DE SAN ÁNGEL,MAGDALENA,4864,437.76
47675,SALAMINA,MAGDALENA,102,9.18
47692,SAN SEBASTIÁN DE BUENAVISTA,MAGDALENA,7662,689.5799999999999
47703,SAN ZENÓN,MAGDALENA,7206,648.54
47707,SANTA ANA,MAGDALENA,60,5.3999999999999995
47720,SANTA BÁRBARA DE PINTO,MAGDALENA,54,4.86
