Project ID,Project Name,COD_DANE,start_year,source
VCS2356,REDD+ CONSERVATION OF ETHNO SUSTAINABLE AFRO-COLOMBIAN COMMUNITY IN THE TROPICAL RAIN FOREST OF COLOMBIA,41206,,berkeley_vrod
VCS2392,REDD + in the Forests of the Otún River Basin,66001,,berkeley_vrod
VCS2512,"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA",41206,2017.0,berkeley_vrod
VCS2723,CONDOTO REDD+,27205,2019.0,berkeley_vrod
VCS2750,Saving Colombia's Cloud Forest,41206,2017.0,berkeley_vrod
VCS3210,Bajo Atrato REDD+ Project,27050,,berkeley_vrod
VCS3217,REDD+ Project in the Alto Predio Putumayo Indigenous Reservation in Colombia,41206,,berkeley_vrod
VCS3217,REDD+ Project in the Alto Predio Putumayo Indigenous Reservation in Colombia,86568,,berkeley_vrod
VCS3218,Origen Atrato-Baudó REDD+ Project,27050,,berkeley_vrod
VCS3450,"Sustainable Agroforestry Cacao Meta, Colombia",41206,,berkeley_vrod
VCS3564,REDD+ Project for the Conservation of Lowland Forest in the  Magdalena Medio Region of Colombia,47288,,berkeley_vrod
VCS3564,REDD+ Project for the Conservation of Lowland Forest in the  Magdalena Medio Region of Colombia,41206,,berkeley_vrod
VCS3594,Finca la Paz II,20621,,berkeley_vrod
VCS3594,Finca la Paz II,68397,,berkeley_vrod
VCS3646,Kúvay Macärö Vidi REDD+ Carurú -KUMAVI REDD+,97161,,berkeley_vrod
VCS3849,THE FOREST CARBON PROJECT AGROREFORESTADORA RANCHO VICTORIA S. A,17867,,berkeley_vrod
VCS3927,CARBONO VIVO- A REGENERATIVE LIVESTOCK CARBON PROJECT WITH A PARTICIPATORY APPROACH IN COLOMBIA,41206,,berkeley_vrod
VCS4480,REDD++ Manglares del Bajo Baudo,27077,,berkeley_vrod
VCS4732,"NatureRe assisted natural regeneration project in degraded lands in Antioquia, Colombia",41206,,berkeley_vrod
VCS4748,RESTORED PRODUCTIVE LANDSCAPES IN THE MAGDALENA RIVER MIDDLE BASIN IN COLOMBIA,47288,,berkeley_vrod
VCS4748,RESTORED PRODUCTIVE LANDSCAPES IN THE MAGDALENA RIVER MIDDLE BASIN IN COLOMBIA,41206,,berkeley_vrod
VCS4894,"MÜSESI project for active restoration in areas of the Sierra Nevada Santa Marta, Colombia",41206,,berkeley_vrod
VCS4894,"MÜSESI project for active restoration in areas of the Sierra Nevada Santa Marta, Colombia",47001,,berkeley_vrod
VCS5324,Sembrando Futuro Restoration Project,47288,,berkeley_vrod
VCS5335,Boomitra grassland Restoration in Colombia,41206,,berkeley_vrod
VCS5680,CO2ROZO,47288,,berkeley_vrod
VCS5908,Electric Mobility Program Colombia,41206,,berkeley_vrod
