COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,baseline_forest_tc50,baseline_forest_tc75,n_fragmentos
15763,SOTAQUIRÁ,BOYACÁ,16063.238577968865,14017.38475856728,10499.568790316824,
15764,SORACÁ,BOYACÁ,220.7405894587497,139.87858567186555,66.29021152063704,
15774,SUSACÓN,BOYACÁ,6577.940882086558,4799.336291475817,2727.897022293532,
15776,SUTAMARCHÁN,BOYACÁ,1609.167744944668,996.7258640578552,504.6563027724325,
15778,SUTATENZA,BOYACÁ,871.0231905796439,390.43571590399046,112.51885542741364,
15790,TASCO,BOYACÁ,7732.324239842694,5074.055484211549,2640.992351098491,
15798,TENZA,BOYACÁ,1332.6723649320616,627.0962205525465,242.39722522939675,
15804,TIBANÁ,BOYACÁ,2793.948661331707,2096.204039832541,1360.1173150509185,
15806,TIBASOSA,BOYACÁ,2547.915047724572,2021.2981267883088,1428.0162597500705,
15808,TINJACÁ,BOYACÁ,3127.407377116156,2261.127464319126,1361.5242504884727,
15810,TIPACOQUE,BOYACÁ,1844.449361268187,1448.2274502587588,1075.8710769480062,
15814,TOCA,BOYACÁ,1230.8726433767515,876.2423318479501,589.9070786011204,
15816,TOGÜÍ,BOYACÁ,8532.310344273446,7351.787242288768,5535.7457869456575,
15820,TÓPAGA,BOYACÁ,1756.9167991513991,1522.7165242101598,1159.4730661708456,
15822,TOTA,BOYACÁ,4258.21230509001,3085.7283143855047,1645.4930727480908,
15832,TUNUNGUÁ,BOYACÁ,2867.981492326131,2810.039855450605,2577.872849991232,
15835,TURMEQUÉ,BOYACÁ,1348.9409724718057,1042.9080942845476,520.1844720725142,
15837,TUTA,BOYACÁ,1858.2193272455168,1317.066812097191,902.5824557385024,
15839,TUTAZÁ,BOYACÁ,4155.839041321057,3077.035063680284,1612.8124780186115,
15842,ÚMBITA,BOYACÁ,4251.366012454589,3445.411664004525,2093.259766300748,
15861,VENTAQUEMADA,BOYACÁ,3848.5149953478126,3026.6234453084744,1855.18388013972,
15879,VIRACACHÁ,BOYACÁ,1664.172784833148,1247.834630905522,541.1364542507491,
15897,ZETAQUIRA,BOYACÁ,17315.65272029114,14803.824327500566,11203.446689634518,
17001,MANIZALES,CALDAS,36512.35868453528,33637.433578703465,26522.22954498838,
