COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,px_bosque_tc30,baseline_forest_tc50,baseline_forest_tc75,fuente,version_gfc,baseline_forest,area_municipio_ha,fecha_generacion
27250,EL LITORAL DEL SAN JUAN,CHOCÓ,402484.0989563108,4484374,401696.9153758234,396186.6104460943,local:Colombia_treecover2000.tif,Colombia_treecover2000,402484.0989563108,413768.43478960684,2026-09-20T09:50:08
27361,ISTMINA,CHOCÓ,185442.8602519342,2067568,185060.81226157956,183647.8706871114,local:Colombia_treecover2000.tif,Colombia_treecover2000,185442.8602519342,188107.20761536635,2026-09-20T09:50:08
27372,JURADÓ,CHOCÓ,123570.03557089384,1383633,123453.98130835862,123165.79252418407,local:Colombia_treecover2000.tif,Colombia_treecover2000,123570.03557089384,125351.17003942287,2026-09-20T09:50:08
27413,LLORÓ,CHOCÓ,83064.59848681184,927343,82652.12087969496,81181.11456270199,local:Colombia_treecover2000.tif,Colombia_treecover2000,83064.59848681184,84312.53218861413,2026-09-20T09:50:08
27425,MEDIO ATRATO,CHOCÓ,176566.97107394977,1972787,176234.22494326608,174756.69366969934,local:Colombia_treecover2000.tif,Colombia_treecover2000,176566.97107394977,181375.187018747,2026-09-20T09:50:08
27430,MEDIO BAUDÓ,CHOCÓ,136294.3960878544,1520428,136064.29686689936,135361.89214984243,local:Colombia_treecover2000.tif,Colombia_treecover2000,136294.3960878544,137294.56925766732,2026-09-20T09:50:08
27450,MEDIO SAN JUAN,CHOCÓ,64621.05418468122,720555,64417.2442120893,63730.12822201556,local:Colombia_treecover2000.tif,Colombia_treecover2000,64621.05418468122,66378.56683271358,2026-09-20T09:50:08
27491,NÓVITA,CHOCÓ,90439.35392939052,1008500,89751.42327162578,87182.02354556762,local:Colombia_treecover2000.tif,Colombia_treecover2000,90439.35392939052,94567.38636371074,2026-09-20T09:50:08
27493,NUEVO BELÉN DE BAJIRÁ,CHOCÓ,93810.79116187888,1051206,86696.17048756276,76508.61625527075,local:Colombia_treecover2000.tif,Colombia_treecover2000,93810.79116187888,128926.00110953557,2026-09-20T09:50:08
27495,NUQUÍ,CHOCÓ,69984.14615086731,781454,69920.83049741077,69762.76188048448,local:Colombia_treecover2000.tif,Colombia_treecover2000,69984.14615086731,70465.16084252311,2026-09-20T09:50:08
