timestamp,status,current,total,checkpoint_rows,latest_line
2026-04-13 09:48:10,RUNNING,34,1122,26928,Processing municipality 34/1122: SAN JUAN NEPOMUCENO (13657)
2026-04-13 09:49:10,RUNNING,34,1122,26928,Processing municipality 34/1122: SAN JUAN NEPOMUCENO (13657)
2026-04-13 09:50:11,RUNNING,35,1122,26928,Processing municipality 35/1122: SAN MART�N DE LOBA (13667)
2026-04-13 09:51:12,RUNNING,35,1122,26928,Processing municipality 35/1122: SAN MART�N DE LOBA (13667)
2026-04-13 09:52:12,RUNNING,36,1122,26928,Processing municipality 36/1122: SAN PABLO (13670)
2026-04-13 09:53:13,RUNNING,36,1122,26928,Processing municipality 36/1122: SAN PABLO (13670)
2026-04-13 09:54:13,RUNNING,36,1122,26928,Processing municipality 36/1122: SAN PABLO (13670)
2026-04-13 09:55:14,RUNNING,37,1122,26928,Processing municipality 37/1122: SANTA CATALINA (13673)
2026-04-13 09:56:14,RUNNING,37,1122,26928,Processing municipality 37/1122: SANTA CATALINA (13673)
2026-04-13 09:57:15,RUNNING,38,1122,26928,Processing municipality 38/1122: SANTA ROSA (13683)
2026-04-13 09:58:15,RUNNING,39,1122,26928,Processing municipality 39/1122: SANTA ROSA DEL SUR (13688)
2026-04-13 09:59:16,RUNNING,39,1122,26928,Processing municipality 39/1122: SANTA ROSA DEL SUR (13688)
2026-04-13 10:00:17,RUNNING,39,1122,26928,Processing municipality 39/1122: SANTA ROSA DEL SUR (13688)
2026-04-13 10:00:45,RUNNING,40,1122,26928,Processing municipality 40/1122: SIMIT� (13744)
2026-04-13 10:01:45,RUNNING,40,1122,26928,Processing municipality 40/1122: SIMIT� (13744)
2026-04-13 10:02:46,RUNNING,41,1122,26928,Processing municipality 41/1122: SOPLAVIENTO (13760)
2026-04-13 10:03:46,RUNNING,41,1122,26928,Processing municipality 41/1122: SOPLAVIENTO (13760)
2026-04-13 10:04:47,RUNNING,42,1122,26928,Processing municipality 42/1122: TALAIGUA NUEVO (13780)
2026-04-13 10:05:47,RUNNING,42,1122,26928,Processing municipality 42/1122: TALAIGUA NUEVO (13780)
2026-04-13 10:06:48,RUNNING,43,1122,26928,Processing municipality 43/1122: TIQUISIO (13810)
2026-04-13 10:07:48,RUNNING,43,1122,26928,Processing municipality 43/1122: TIQUISIO (13810)
2026-04-13 10:08:49,RUNNING,44,1122,26928,Processing municipality 44/1122: TURBACO (13836)
2026-04-13 10:09:49,RUNNING,44,1122,26928,Processing municipality 44/1122: TURBACO (13836)
2026-04-13 10:10:50,RUNNING,45,1122,26928,Processing municipality 45/1122: TURBANA (13838)
2026-04-13 10:11:50,RUNNING,45,1122,26928,Processing municipality 45/1122: TURBANA (13838)
2026-04-13 10:12:51,RUNNING,46,1122,26928,Processing municipality 46/1122: VILLANUEVA (13873)
2026-04-13 10:13:51,RUNNING,47,1122,26928,Processing municipality 47/1122: ZAMBRANO (13894)
2026-04-13 10:14:52,RUNNING,47,1122,26928,Processing municipality 47/1122: ZAMBRANO (13894)
2026-04-13 10:15:52,RUNNING,48,1122,26928,Processing municipality 48/1122: TUNJA (15001)
2026-04-13 10:16:53,RUNNING,49,1122,26928,Processing municipality 49/1122: ALMEIDA (15022)
2026-04-13 10:17:53,RUNNING,49,1122,26928,Processing municipality 49/1122: ALMEIDA (15022)
2026-04-13 10:18:54,RUNNING,50,1122,26928,Processing municipality 50/1122: AQUITANIA (15047)
2026-04-13 10:19:55,RUNNING,50,1122,26928,Processing municipality 50/1122: AQUITANIA (15047)
2026-04-13 10:20:55,RUNNING,51,1122,26928,Processing municipality 51/1122: ARCABUCO (15051)
2026-04-13 10:21:56,RUNNING,51,1122,26928,Processing municipality 51/1122: ARCABUCO (15051)
2026-04-13 10:22:56,RUNNING,52,1122,26928,Processing municipality 52/1122: BEL�N (15087)
2026-04-13 10:23:57,RUNNING,53,1122,26928,Processing municipality 53/1122: BERBEO (15090)
2026-04-13 10:24:57,RUNNING,53,1122,26928,Processing municipality 53/1122: BERBEO (15090)
2026-04-13 10:25:58,RUNNING,54,1122,26928,Processing municipality 54/1122: BET�ITIVA (15092)
2026-04-13 10:26:59,RUNNING,55,1122,26928,Processing municipality 55/1122: BOAVITA (15097)
2026-04-13 10:27:59,RUNNING,55,1122,26928,Processing municipality 55/1122: BOAVITA (15097)
2026-04-13 10:29:00,RUNNING,56,1122,26928,Processing municipality 56/1122: BOYAC� (15104)
2026-04-13 10:30:00,RUNNING,57,1122,26928,Processing municipality 57/1122: BRICE�O (15106)
2026-04-13 10:31:01,RUNNING,57,1122,26928,Processing municipality 57/1122: BRICE�O (15106)
2026-04-13 10:32:01,RUNNING,57,1122,26928,Processing municipality 57/1122: BRICE�O (15106)
2026-04-13 10:33:02,RUNNING,58,1122,26928,Processing municipality 58/1122: BUENAVISTA (15109)
2026-04-13 10:34:02,RUNNING,59,1122,26928,Processing municipality 59/1122: BUSBANZ� (15114)
2026-04-13 10:35:03,RUNNING,60,1122,26928,Processing municipality 60/1122: CALDAS (15131)
2026-04-13 10:36:03,RUNNING,60,1122,26928,Processing municipality 60/1122: CALDAS (15131)
2026-04-13 10:37:04,RUNNING,61,1122,26928,Processing municipality 61/1122: CAMPOHERMOSO (15135)
2026-04-13 10:38:05,RUNNING,62,1122,26928,Processing municipality 62/1122: CERINZA (15162)
2026-04-13 10:39:05,RUNNING,62,1122,26928,Processing municipality 62/1122: CERINZA (15162)
2026-04-13 10:40:06,RUNNING,63,1122,26928,Processing municipality 63/1122: CHINAVITA (15172)
2026-04-13 10:41:06,RUNNING,64,1122,26928,Processing municipality 64/1122: CHIQUINQUIR� (15176)
2026-04-13 10:42:07,RUNNING,64,1122,26928,Processing municipality 64/1122: CHIQUINQUIR� (15176)
2026-04-13 10:43:07,RUNNING,65,1122,26928,Processing municipality 65/1122: CHISCAS (15180)
2026-04-13 10:44:08,RUNNING,65,1122,26928,Processing municipality 65/1122: CHISCAS (15180)
2026-04-13 10:45:08,RUNNING,65,1122,26928,Processing municipality 65/1122: CHISCAS (15180)
2026-04-13 10:46:09,RUNNING,66,1122,26928,Processing municipality 66/1122: CHITA (15183)
2026-04-13 10:47:09,RUNNING,66,1122,26928,Processing municipality 66/1122: CHITA (15183)
2026-04-13 10:48:10,RUNNING,67,1122,26928,Processing municipality 67/1122: CHITARAQUE (15185)
2026-04-13 10:49:10,RUNNING,67,1122,26928,Processing municipality 67/1122: CHITARAQUE (15185)
2026-04-13 10:50:11,RUNNING,68,1122,26928,Processing municipality 68/1122: CHIVAT� (15187)
2026-04-13 10:51:11,RUNNING,68,1122,26928,Processing municipality 68/1122: CHIVAT� (15187)
2026-04-13 10:52:12,RUNNING,69,1122,26928,Processing municipality 69/1122: CI�NEGA (15189)
2026-04-13 10:53:12,RUNNING,69,1122,26928,Processing municipality 69/1122: CI�NEGA (15189)
2026-04-13 10:54:13,RUNNING,70,1122,26928,Processing municipality 70/1122: C�MBITA (15204)
2026-04-13 10:55:14,RUNNING,71,1122,26928,Processing municipality 71/1122: COPER (15212)
2026-04-13 10:56:14,RUNNING,71,1122,26928,Processing municipality 71/1122: COPER (15212)
2026-04-13 10:57:15,RUNNING,72,1122,26928,Processing municipality 72/1122: CORRALES (15215)
2026-04-13 10:58:15,RUNNING,73,1122,26928,Processing municipality 73/1122: COVARACH�A (15218)
2026-04-13 10:59:16,RUNNING,74,1122,26928,Processing municipality 74/1122: CUBAR� (15223)
2026-04-13 11:00:16,RUNNING,74,1122,26928,Processing municipality 74/1122: CUBAR� (15223)
2026-04-13 11:01:17,RUNNING,75,1122,26928,Processing municipality 75/1122: CUCAITA (15224)
2026-04-13 11:02:17,RUNNING,75,1122,26928,Processing municipality 75/1122: CUCAITA (15224)
2026-04-13 11:03:18,RUNNING,76,1122,26928,Processing municipality 76/1122: CU�TIVA (15226)
2026-04-13 11:04:18,RUNNING,77,1122,26928,Processing municipality 77/1122: CH�QUIZA (15232)
2026-04-13 11:05:19,RUNNING,77,1122,26928,Processing municipality 77/1122: CH�QUIZA (15232)
2026-04-13 11:06:19,RUNNING,78,1122,26928,Processing municipality 78/1122: CHIVOR (15236)
2026-04-13 11:07:20,RUNNING,79,1122,26928,Processing municipality 79/1122: DUITAMA (15238)
2026-04-13 11:08:20,RUNNING,79,1122,26928,Processing municipality 79/1122: DUITAMA (15238)
2026-04-13 11:09:21,RUNNING,80,1122,26928,Processing municipality 80/1122: EL COCUY (15244)
2026-04-13 11:10:21,RUNNING,80,1122,26928,Processing municipality 80/1122: EL COCUY (15244)
2026-04-13 11:11:22,RUNNING,81,1122,26928,Processing municipality 81/1122: EL ESPINO (15248)
2026-04-13 11:41:22,RUNNING,1,1122,26928,"Processing municipality 1/1122: BOGOT�, D.C. (11001)"
2026-04-13 11:42:22,RUNNING,1,1122,26928,"Processing municipality 1/1122: BOGOT�, D.C. (11001)"
2026-04-13 11:43:23,RUNNING,1,1122,26928,"Processing municipality 1/1122: BOGOT�, D.C. (11001)"
2026-04-13 11:44:24,RUNNING,46,1122,26928,Processing municipality 46/1122: VILLANUEVA (13873)
2026-04-13 11:45:24,RUNNING,47,1122,26928,Processing municipality 47/1122: ZAMBRANO (13894)
