project_id,name_offsetsdb,proponent_offsetsdb,project_url,matched_cod_dane,matched_municipio,n_matches
VCS1798,Hydroelectric projects at Oibita River,PCH San Bartolomé S.A.S .ES.P.,https://registry.verra.org/app/projectDetail/VCS/1798,,,0
VCS1796,Santa Rosa - Altamira hydroelectric projects,Desarrollo de Energías Renovables S.A.S .ES.P.,https://registry.verra.org/app/projectDetail/VCS/1796,,,0
VCS1797,El Molino-San Matias hydroelectric projects,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1797,,,0
VCS1769,"Grouped Project for restoration of degraded lands in Jaguar Corridors, Colombia",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1769,,,0
VCS1765,Grouped Project for reducing emissions from deforestation and forest degradation-REDD-in the Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de los Guacharos,Corporación Autónoma Regional del Río Grande de la Magdalena (CORMAGDALENA),https://registry.verra.org/app/projectDetail/VCS/1765,,,0
VCS1723,Escuela de Minas Hydroelectric Project,HIDROELECTRICA DEL ALTO PORCE S.A.S E.S.P,https://registry.verra.org/app/projectDetail/VCS/1723,,,0
VCS1695,PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR,Local Environmental Authority of Chivor (CORPOCHIVOR– Corporación Autónoma Regional de Chivor),https://registry.verra.org/app/projectDetail/VCS/1695,,,0
VCS1682,Regenerating Colombian Coffee Ecosystems,The PURE PROJECT SAS,https://registry.verra.org/app/projectDetail/VCS/1682,,,0
VCS1173,San Andres Hydroelectric project,Celsia Colombia S.A. E.S.P.,https://registry.verra.org/app/projectDetail/VCS/1173,,,0
VCS1657,"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",Fundación Natura,https://registry.verra.org/app/projectDetail/VCS/1657,,,0
VCS856,The Chocó-Darién Conservation Corridor REDD Project,Anthrotect S.A.S.,https://registry.verra.org/app/projectDetail/VCS/856,,,0
VCS1395,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1395,,,0
VCS576,"Restoration of degraded areas and reforestation in Cáceres and Cravo Norte, Colombia",Asorpar Ltd.,https://registry.verra.org/app/projectDetail/VCS/576,,,0
VCS1566,REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1566,,,0
VCS1390,Carmen del Darién (CDD) REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1390,,,0
VCS1396,Rio Pepe y ACABA REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1396,,,0
VCS1562,Hydroelectric Project Aures Bajo,Aures Bajo S.A E.S.P,https://registry.verra.org/app/projectDetail/VCS/1562,,,0
VCS1400,Concosta REDD+ Project,Concosta Community Council,https://registry.verra.org/app/projectDetail/VCS/1400,,,0
VCS1391,SIVIRÚ-USARAGÁ-PIZARRO-PILIZÁ (SUPP) REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1391,,,0
VCS1389,Acapa -­ Bajo Mira Y Frontera REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1389,,,0
VCS1392,Cajambre REDD+ Project,Consejo Comunitario del Río Cajambre,https://registry.verra.org/app/projectDetail/VCS/1392,,,0
VCS1399,Mutatá REDD+ Project,Cabildo Mayor Indígena de Mutatá,https://registry.verra.org/app/projectDetail/VCS/1399,,,0
VCS1065,HYDROELECTRIC PROJECT ITUANGO,Empresas Públicas de Medellín E.S.P,https://registry.verra.org/app/projectDetail/VCS/1065,,,0
VCS1530,Grouped Project for Commercial Forest Plantations Initiatives in the Department of Vichada,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1530,,,0
VCS1524,AXIA Energia Cogeneration Project in Familia,AXIA Energia,https://registry.verra.org/app/projectDetail/VCS/1524,,,0
VCS1206,Montanitas Hydroelectric Project,Celsia Colombia S.A. E.S.P.,https://registry.verra.org/app/projectDetail/VCS/1206,,,0
VCS1473,Hydroelectric Project MULATOS II,Energía del Suroeste S.A E.S.P,https://registry.verra.org/app/projectDetail/VCS/1473,,,0
VCS1233,Reforestation with Rubber on degraded lands of Colombia,NACOBENA SAS,https://registry.verra.org/app/projectDetail/VCS/1233,,,0
VCS1378,"Forestry Project for the Basin of the Chinchina River, an Environmental and Productive Alternative for the City and the Region",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1378,,,0
VCS1434,Forestry Project “More Forests for Medellin”,Secretaría del Medio Ambiente del Municipio de Medellín,https://registry.verra.org/app/projectDetail/VCS/1434,,,0
VCS1429,Recovery of degraded areas with agroforestry systems in Colombia,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1429,,,0
