Project ID,Project Name,Project Stage,Project URL,Duration start,Duration end,n_matches,cod_dane,municipio
CDC-22,Proyecto Conservación ARLEQUÍN REDD+,Certified,https://www.ecoregistry.io/projects/22,2015-01-01,2044-12-31,3,13670;27160;52693,CERTEGUI;SAN PABLO
CDC-22,Proyecto Conservación ARLEQUÍN REDD+,Certified,https://www.ecoregistry.io/projects/22,2015-01-01,2044-12-31,3,13670;27160;52693,CERTEGUI;SAN PABLO
CDC-82,Certificación de Reducción de Emisiones de GEI de Aceites Manuelita S.A.,Certified,https://www.ecoregistry.io/projects/82,2017-05-25,2067-05-24,0,,
CDC-82,Certificación de Reducción de Emisiones de GEI de Aceites Manuelita S.A.,Certified,https://www.ecoregistry.io/projects/82,2017-05-25,2067-05-24,0,,
CDC-82,Certificación de Reducción de Emisiones de GEI de Aceites Manuelita S.A.,Certified,https://www.ecoregistry.io/projects/82,2017-05-25,2067-05-24,0,,
CDC-51,Doña Juana Landfill Gas to Energy Project,Certified,https://www.ecoregistry.io/projects/51,2009-09-30,2041-11-30,0,,
CDC-51,Doña Juana Landfill Gas to Energy Project,Certified,https://www.ecoregistry.io/projects/51,2009-09-30,2041-11-30,0,,
CDC-51,Doña Juana Landfill Gas to Energy Project,Certified,https://www.ecoregistry.io/projects/51,2009-09-30,2041-11-30,0,,
CDC-51,Doña Juana Landfill Gas to Energy Project,Certified,https://www.ecoregistry.io/projects/51,2009-09-30,2041-11-30,0,,
CDC-51,Doña Juana Landfill Gas to Energy Project,Certified,https://www.ecoregistry.io/projects/51,2009-09-30,2041-11-30,0,,
CDC-51,Doña Juana Landfill Gas to Energy Project,Certified,https://www.ecoregistry.io/projects/51,2009-09-30,2041-11-30,0,,
CDC-51,Doña Juana Landfill Gas to Energy Project,Certified,https://www.ecoregistry.io/projects/51,2009-09-30,2041-11-30,0,,
CDC-14,Recuperación de suelos degradados con el uso de incentivos financieros en el centro y oriente de Colombia,Finished,https://www.ecoregistry.io/projects/14,,,3,15131;17616;5129,CALDAS;RISARALDA
CDC-29,PROYECTO ASOCIATIVO PROGRAMÁTICO ZONA ANDINA Y COSTA ATLÁNTICA - FCG,Certified,https://www.ecoregistry.io/projects/29,2011-03-13,2060-03-13,0,,
CDC-29,PROYECTO ASOCIATIVO PROGRAMÁTICO ZONA ANDINA Y COSTA ATLÁNTICA - FCG,Certified,https://www.ecoregistry.io/projects/29,2011-03-13,2060-03-13,0,,
CDC-29,PROYECTO ASOCIATIVO PROGRAMÁTICO ZONA ANDINA Y COSTA ATLÁNTICA - FCG,Certified,https://www.ecoregistry.io/projects/29,2011-03-13,2060-03-13,0,,
CDC-29,PROYECTO ASOCIATIVO PROGRAMÁTICO ZONA ANDINA Y COSTA ATLÁNTICA - FCG,Certified,https://www.ecoregistry.io/projects/29,2011-03-13,2060-03-13,0,,
CDC-29,PROYECTO ASOCIATIVO PROGRAMÁTICO ZONA ANDINA Y COSTA ATLÁNTICA - FCG,Certified,https://www.ecoregistry.io/projects/29,2011-03-13,2060-03-13,0,,
CDC-58,PEQUEÑA CENTRAL HIDROELÉCTRICA SAN ANDRÉS DE CUERQUIA,Verification,https://www.ecoregistry.io/projects/58,2013-10-01,2043-09-30,4,5647;5887;68669;88001,SAN ANDRES;SAN ANDRES DE CUERQUIA;YARUMAL
CDC-58,PEQUEÑA CENTRAL HIDROELÉCTRICA SAN ANDRÉS DE CUERQUIA,Verification,https://www.ecoregistry.io/projects/58,2013-10-01,2043-09-30,4,5647;5887;68669;88001,SAN ANDRES;SAN ANDRES DE CUERQUIA;YARUMAL
