_id,nombre_iniciativa,tipo,fase,n_matches,cod_dane,municipio
68b22c822cb375c800b83d43,Parque eólico Guajira I,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c812cb375c800b83d40,Proyecto hidroeléctrico Sogamoso,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c802cb375c800b83d3d,PCH CANTAYUS,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c7b2cb375c800b83d39,SAHBIO CARBONO,NAMA - Acciones Nacionalmente Apropiadas de Mitigación,Factibilidad,0,,
68b22c752cb375c800b83d35,Proyecto Forestal Carbono Sombrilla Abejorral,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c6f2cb375c800b83d31,SOMBRILLA BAJO CAUCA Y COSTA NORTE CO2CERO-FCG,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c6a2cb375c800b83d2d,Bajo Tuluá Minor Hydroelectric Power Plant - CDM,MDL - Proyectos del Mecanismo de Desarrollo Limpio,Factibilidad,0,,
68b22c692cb375c800b83d2a,"Conservación REDD+ Sur del Meta ""Bosques de paz, Sustento de vida",Proyecto REDD+,Factibilidad,0,,
68b22c642cb375c800b83d26,REDD+ JIGRANTU,Proyecto REDD+,Factibilidad,0,,
68b22c5d2cb375c800b83d1f,Proyecto Forestal CO2CERO VICHADA,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c582cb375c800b83d1b,Proyecto Forestal Sombrilla Urrao FCG,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c532cb375c800b83d17,PROYECTO FORESTAL CO2CERO CAUCHO PL UNO,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c4e2cb375c800b83d13,PROYECTO FORESTAL CARBONO IG FARMS ,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c482cb375c800b83d0f,REDD++ Manglares del Bajo Baudó,Proyecto REDD+,Factibilidad,0,,
68b22c432cb375c800b83d0b,PROYECTO FORESTAL CO2CERO CAUCHO EL VIENTO,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c3d2cb375c800b83d07,PROYECTO FORESTAL CO2CERO META,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c372cb375c800b83d03,PROYECTO FORESTAL CO2CERO CORDILLERA CENTRAL,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c362cb375c800b83d00,Proyecto REDD+ Cabildo Mayor Indígena de Vigía del Fuerte,Proyecto REDD+,Factibilidad,0,,
68b22c312cb375c800b83cfc,ASATRIZY VAUPÉS MALOCA REDD+ PROJECT,Proyecto REDD+,Factibilidad,0,,
68b22c2b2cb375c800b83cf5,PROYECTO FORESTAL CO2CERO SANTANDER,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c252cb375c800b83cf1,PROYECTO FORESTAL CO2CERO CASANARE,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c202cb375c800b83ced,Proyecto Forestal CO2CERO CARIBE,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c1a2cb375c800b83ce6,PROYECTO FORESTAL CO2CERO REFOCOSTA LA GLORIA,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c192cb375c800b83ce3,Núcleos Timberlife,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c142cb375c800b83cdf,ASATRIZY VAUPÉS MALOCA REDD+ PROJECT,PDBC - Proyectos de Desarrollo Bajo en Carbono,Cierre,0,,
68b22c0f2cb375c800b83cdb,REDD+ Awia Tuparro+9,Proyecto REDD+,Factibilidad,0,,
68b22c0e2cb375c800b83cd8,Proyecto REDD+ Consejo Comunitario del Río Guajuí REDD,Proyecto REDD+,Factibilidad,0,,
68b22c0d2cb375c800b83cd5,Conservación de la Selva de Guainía,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c0c2cb375c800b83cd2,Proyectos hidroeléctricos El Molino - San Matías,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
68b22c0b2cb375c800b83ccf,Proyecto hidroeléctrico PCH Luzma,PDBC - Proyectos de Desarrollo Bajo en Carbono,Factibilidad,0,,
