project_id,name,proponent,project_url,registry
VCS2512,"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA",Forest First Colombia S.A.S.,https://registry.verra.org/app/projectDetail/VCS/2512,verra
VCS2459,NAYA REDD+,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2459,verra
VCS2392,REDD + in the Forests of the Otún River Basin,Empresa de Acueducto y Alcantarillado de Pereira S.A.S E.S. P,https://registry.verra.org/app/projectDetail/VCS/2392,verra
VCS2356,REDD+ CONSERVATION OF ETHNO SUSTAINABLE AFRO-COLOMBIAN COMMUNITY IN THE TROPICAL RAIN FOREST OF COLOMBIA,WeAct Pty Ltd.,https://registry.verra.org/app/projectDetail/VCS/2356,verra
VCS2330,Protection of mangroves and community developmental activities in the biodiversity hotspot of Colombia,WeAct Pty Ltd.,https://registry.verra.org/app/projectDetail/VCS/2330,verra
VCS2317,REDD+ Project Magnolios de Yarumal,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2317,verra
VCS2298,"CONSEJOS COMUNITARIOS DEL PACIFICO VALLE DEL CAUCA (CCPVC) PROGRAMA REDD+ VALLE DEL CAUCA, COLOMBIA",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2298,verra
VCS2297,REDD+ Project Pueblos indígenas resguardando la selva,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2297,verra
VCS2290,BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”,Conservation International Foundation,https://registry.verra.org/app/projectDetail/VCS/2290,verra
VCS1235,Hydroelectric Project Cantayus,Generadora Cantayus S.A.S. E.S.P.,https://registry.verra.org/app/projectDetail/VCS/1235,verra
VCS479,Curva de Rodas and La Pradera landfill gas management project,Green Gas Colombia,https://registry.verra.org/app/projectDetail/VCS/479,verra
VCS491,"Bionersis landfill  project in Pasto, Colombia",Bionersis S.A.,https://registry.verra.org/app/projectDetail/VCS/491,verra
VCS1405,AXIA Energia Cogeneration Project in Unibol,AXIA Energia,https://registry.verra.org/app/projectDetail/VCS/1405,verra
VCS1169,EPM Grouped Natural Gas Project,Empresas Publicas de Medellin S.A,https://registry.verra.org/app/projectDetail/VCS/1169,verra
VCS1068,Hydroelectric Project El Edén,PROELECTRICA S.A.S E.S.P,https://registry.verra.org/app/projectDetail/VCS/1068,verra
VCS2262,REDD+ Yaguara Llanos del Yari,CUESTA Y ASOCIADOS SAS,https://registry.verra.org/app/projectDetail/VCS/2262,verra
VCS2251,REDD PROJECT OF THE INDIGENOUS PEOPLES OF VAUPÉS YUTUCU AND  OTHERS,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2251,verra
VCS2084,"CONSERVATION PROJECT REDD+ SUR DEL META BOSQUES DE PAZ, SUSTENTO DE VIDA",Karbon-X,https://registry.verra.org/app/projectDetail/VCS/2084,verra
VCS2071,"COCOMACIA COMMUNITY REDD+ PROGRAM, CHOCO/ANTIOQUIA COLOMBIA",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/2071,verra
VCS2060,Suba and Usaquen Hydroelectric Umbrella Project,Empresa de Acueducto y Alcantarillado de Bogota E.S.P,https://registry.verra.org/app/projectDetail/VCS/2060,verra
VCS1936,WIND POWER GROUPED PROJECT BY CELSIA COLOMBIA - BEGONIA POWER,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1936,verra
